-d test -n 1
1, 1
2, 1
3, 5
4, 5
5, 3
6, 2
7, 0
8, 4
9, 1
10, 2
11, 3
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 1
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
35, 0
36, 0
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
1, 888886
2, 3181164
3, 3934428
4, 2996042
5, 1951804
6, 1475161
7, 1219949
8, 782858
9, 599082
10, 366980
11, 176489
12, 98177
13, 46580
14, 21313
15, 7828
16, 2606
17, 1627
18, 749
19, 248
20, 120
21, 517
22, 40
23, 32
24, 18
25, 8
26, 7
27, 5
28, 4
29, 4
30, 1
31, 2
32, 1
33, 41
34, 0
